Id;name;id_operators_name
294;ПАО ВЫМПЕЛКОМ;Beeline
295;ООО ГАЗПРОМ ТЕЛЕКОМ;Газпром телеком
296;ООО АНТАРЕС;Антарес
297;ООО ИНТЕГРАЛ;Интеграл
298;ООО АРКТУР;Арктур
299;АО МТТ;МТТ
300;ООО ЭКСПРЕСС МОБАЙЛ;Unknown
301;ООО АЛЬФА-МОБАЙЛ;Unknown
302;ООО ИК СИБИНТЕК;СИБИНТЕРТЕЛЕКОМ
303;ООО МИАТЕЛ;МиАТел
304;МИНЦИФРЫ РОССИИ;Unknown
305;ООО МОЙ ОПЕРАТОР;Unknown
306;ООО ИНТЕРНОД;Интернод
307;ООО ВТБ МОБАЙЛ;ВТБ Мобайл
308;ПАО МТС;MTS
309;ООО ЭН+ ТЕЛЕКОМ;Unknown
310;ООО АЛАРМ ТРЕЙД;Unknown
311;ПАО МЕГАФОН;Megafon
312;ООО СПРИНТ;Спринт
313;ПАО БАШИНФОРМСВЯЗЬ;Unknown
314;ООО БЕЗЛИМИТ;Unknown
315;ООО ЮНИТТЕЛ;Unknown
316;ПАО РОСТЕЛЕКОМ;RTK
317;ООО МСН ТЕЛЕКОМ;МСН Телеком
318;ООО Т-МОБ;Tinkoff
319;ООО КОМТЕХЦЕНТР;Unknown
320;ООО СБЕРБАНК-ТЕЛЕКОМ;Сбербанк-Телеком
321;ООО АСТРАН;Астран
322;ООО М-ТЕЛЕКОМ;Unknown
323;ООО НМК;Unknown
324;ПАО ТАТТЕЛЕКОМ;Таттелеком
325;ООО МАТРИКС ТЕЛЕКОМ;МАТРИКС телеком
326;ООО ОМЕГА;Unknown
327;ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКИ «РЕСПУБЛИКАНСКИЙ ОПЕРАТОР СВЯЗИ»;Unknown
328;ООО Миранда-медиа;Unknown
329;ООО ПОРЛАМАР;Unknown
330;ООО К-ТЕЛЕКОМ;К-телеком
331;ООО МИРАНДА-МЕДИА;Unknown
332;ЗАО ДЖИ ТИ ЭН ТИ;Джи Ти Эн Ти
333;ООО ИРИДИУМ КОММЬЮНИКЕШЕНС;Unknown
334;ФГУП МОРСВЯЗЬСПУТНИК;Морсвязьспутник
335;ООО ОКЕЙ ТЕЛЕКОМ;Unknown
336;ООО ТТК-СВЯЗЬ;Unknown
337;АО КОМПАНИЯ ТРАНСТЕЛЕКОМ;Компания ТрансТелеКом
338;ООО ТТК-Связь;Unknown
339;ООО КВАНТЕК;Квантек
340;ООО ТЕЛЕПОРТ;Unknown
341;ФГУП «ГРЧЦ»;Unknown
342;ООО ГЛОБАЛ ТЕЛЕКОМ;Глобал Телеком
343;ООО ВИКОМ;ВиКом
344;ООО ЦЕНТР 2М;Центр 2М
345;ООО ЦИФРА ГРУПП;Unknown
346;ПАО МГТС;МГТС
347;ООО МОБИЛЬНЫЕ КОММУНИКАЦИОННЫЕ СИСТЕМЫ;Unknown
348;ООО МКС;Unknown
349;ООО СКАЙНЭТ;СкайНэт
350;АО НАЦСПЕКТР;Unknown
351;ООО КРОМИКС;Unknown
352;ООО ОРАНЖ БИЗНЕС СЕРВИСЕЗ;Unknown
353;АО СЕВТЕЛЕКОМ;Unknown
354;ООО ВТК-МОБАЙЛ;Unknown
355;ООО МирТелеком;Unknown
356;ООО МИРТЕЛЕКОМ;Unknown
357;ГУП ДНР РОС;Unknown
358;ООО СКАРТЕЛ;Skartel
359;АО ВАЙНАХ ТЕЛЕКОМ;Вайнах Телеком
400;None;None
